name	gender	meaning
'Aamir	Means "prosperous, substantial" in Arabic.	0
'Abbas	Variant transcription of ABBAS.	0
'Abla	Means "full-figured" in Arabic. The 7th-century Arabic poet Antara dedicated much of his poetry to a woman named Abla.	1
'Ach'av	Biblical Hebrew form of AHAB.	0
'Adalya'	Hebrew form of ADALIA.	0
'Adinah	Hebrew form of ADINA  (1).	0
'Adoniyah	Hebrew form of ADONIJAH.	0
'Aisha	Variant transcription of AISHA.	1
'Ali	Variant transcription of ALI  (1).	0
'Ammar	Means "virtuous, pious" in Arabic.	0
'Ari'el	Hebrew form of ARIEL.	0
'Amaryahu	Original Hebrew form of AMARIAH.	0
'Asenat	Hebrew form of ASENATH.	1
'Ashtoret	Hebrew form of ASHTORETH.	1
'Avi'el	Hebrew form of ABIEL.	0
'Avigayil	Original Hebrew form of ABIGAIL.	1
'Avima'el	Hebrew form of ABIMAEL.	0
'Avimelekh	Hebrew form of ABIMELECH.	0
'Avishay	Hebrew form of ABISHAI.	0
'Aviyah	Hebrew form of ABIJAH.	0
'Avshalom	Hebrew form of ABSALOM.	0
'Azaryah	Hebrew form of AZARIAH.	0
'Azazyahu	Hebrew form of AZAZIAH.	0
'Aziz	Variant transcription of AZIZ.	0
'Azri'el	Hebrew form of AZRIEL.	0
'Ednah	Hebrew form of EDNA  (2).	1
'Efrayim	Hebrew form of EPHRAIM.	0
'El'azar	Hebrew form of ELEAZAR.	0
'Eli'ezer	Hebrew form of ELIEZER.	0
'Elifalet	Hebrew form of ELIPHALET.	0
'Elifelet	Hebrew form of ELIPHELET.	0
'Esaw	Hebrew form of ESAU.	0
'Ezra'	Ancient Hebrew form of EZRA.	0
'Ester	Hebrew form of ESTHER.	1
'Ira'	Hebrew form of IRA  (1).	0
'Ismat	Derived from Arabic عصم ('Isma) meaning "safeguarding".	0
'Ittay	Biblical Hebrew form of ITHAI.	0
'Iyyov	Biblical Hebrew form of JOB.	0
'Izevel	Hebrew form of JEZEBEL.	1
'Ofrah	Hebrew form of OPHRAH.	0
'Orpah	Hebrew form of ORPAH.	1
'Ovadyah	Hebrew form of OBADIAH.	0
'Uri	Biblical Hebrew form of URI.	0
'Uriy'el	Biblical Hebrew form of URIEL.	0
'Uriyah	Hebrew form of URIAH.	0
'Uzziyyah	Hebrew form of UZZIAH.	0
A'isha	Variant transcription of AISHA.	1
ÁBel	Hungarian form of ABEL.	0
ÁDám	Hungarian form of ADAM.	0
ÁDhamh	Irish form of ADAM.	0
ÁEd	Older form of AODH.	0
ÁEdán	Older form of AODHÁN. This was the name of a 6th-century king of the Scots.	0
ÁEdh	Variant of ÁED.	0
ÁFrica	Spanish form of AFRICA  (1). It is usually taken from the title of the Virgin Mary, Nuestra Señora de África, the patron saint of the Spanish enclave of Ceuta in North Africa.	1
ÁGi	Diminutive of ÁGOTA or ÁGNES.	1
ÁGnes	Hungarian form of AGNES.	1
ÁGoston	Hungarian form of Augustinus (see AUGUSTINE  (1)).	0
ÁGota	Hungarian form of AGATHA.	1
ÁGueda	Spanish and Portuguese form of AGATHA.	1
ÁIle	Sami form of HELGA.	1
ÁIne	Means "radiance" in Gaelic. This was the name of the queen of the fairies in Celtic mythology. It is also taken as an Irish form of Anne.	1
ÁKi	Old Norse diminutive of names containing the element anu "ancestor, father".	0
ÁKos	Possibly of Turkish origin meaning "white falcon".	0
ÁLeifr	Old Norse form of OLAF.	0
ÁLmos	Means "sleepy, dreamy" in Hungarian. This was the name of the semi-legendary father of Árpád, the founder of the Hungarian state. Álmos's mother Emese supposedly had a dream in which a turul bird impregnated her and foretold that her son would be the father of a great nation.	0
ÁLvaro	Spanish form of a Germanic name, perhaps ALFHER. Verdi used this name in his opera 'The Force of Destiny' (1862).	0
ÁMbar	Spanish cognate of AMBER.	1
ÁNgel	Spanish form of Angelus (see ANGEL).	0
ÁNgela	Spanish feminine form of Angelus (see ANGEL).	1
ÁRni	Old Norse and Icelandic form of ARNE  (1).	0
ÁRon	Hungarian form of AARON.	0
ÁRpád	Means "seed" in Hungarian. This is the name of a Hungarian national hero, a 9th-century prince who led the Magyars into Hungary.	0
ÁSa	Viking Answer Lady Webpage, available from http://www.vikinganswerlady.com/ONNames.shtml	0
ÁSbjörn	Old Norse name derived from the elements áss "god" and björn "bear". It is therefore a cognate of OSBORN.	0
ÁSdís	Derived from the Old Norse elements áss "god" and dís "goddess".	1
ÁSgeir	Icelandic form of ASGER.	0
ÁSketill	Derived from Old Norse áss "god" and ketill "cauldron, helmet".	0
ÁSgeirr	Old Norse form of ASGER.	0
ÁSlaug	Old Norse and Icelandic form of ASLAUG.	1
ÁSmundr	Old Norse form of ÅSMUND.	0
ÁSmundur	Icelandic form of ÅSMUND.	0
ÁSta	Short form of ÁSTRÍÐR.	1
ÁStríðr	Derived from the Old Norse elements áss "god" and fríðr "beautiful, beloved".	1
ÁStríður	Icelandic form of ÁSTRÍÐR.	1
ÁSvaldr	Old Norse cognate of OSWALD.	0
